,CNDP,Common_neighbors,Jaccard,sAA,sHDI,sHPI,sLLHN,sPA,sRA,sRandomWalk,sSalton
UAL,0.614770873607659,0.6329584829236858,0.6075573966675871,0.6412659486329743,0.604107152720243,0.6301353217343275,0.47381901868728715,0.6103812943017582,0.6412659486329743,0.6042636472429348,0.6216684157230968
BUP,0.5850102145045964,0.5888236295539666,0.5895556690500512,0.6092015662240381,0.5796986721144024,0.6024089206673476,0.584993190330269,0.4792049710589037,0.6092015662240381,0.574438202247191,0.6001191692202927
CEG,0.4983014401619052,0.5771240129379664,0.5242088144413726,0.591554905043277,0.5105487793859887,0.5519900254783976,0.46586653656421095,0.5200224065340344,0.5952794492329375,0.5498122549285339,0.536470248098155
INF,0.6358047016274865,0.6358047016274865,0.6358047016274865,0.6358047016274865,0.6358047016274865,0.6358047016274865,0.6358047016274865,0.495961422543701,0.6358047016274865,0.6484629294755877,0.6358047016274865
